,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
133,Huambo,100,AO,1576616950,97,-12.78,-12.78,61.74,1.3
134,Broome,70,GB,1576616950,93,52.47,52.47,44.01,6.93
135,Pirovskoye,98,RU,1576616950,95,57.63,57.63,5.05,4.97
136,Nuuk,20,GL,1576616950,46,64.17,64.17,32.0,2.24
137,Raigarh,0,IN,1576616951,88,21.9,21.9,59.97,1.92
138,Havoysund,75,NO,1576616951,85,71.0,71.0,32.0,2.24
139,Necochea,0,AR,1576616874,42,-38.55,-38.55,70.0,5.99
140,Half Moon Bay,90,US,1576616951,58,37.46,37.46,61.0,10.54
141,Bansdih,0,IN,1576616951,64,25.88,25.88,55.33,6.49
142,Kirakira,99,SB,1576616951,81,-10.46,-10.46,79.97,5.79
143,Zheleznodorozhnyy,90,RU,1576616952,86,55.75,55.75,37.99,4.47
144,Mar del Plata,95,AR,1576616876,31,-46.43,-46.43,76.03,34.87
145,Lagoa,20,PT,1576616952,76,37.14,37.14,55.0,4.7
146,Biak,100,ID,1576616952,70,-0.91,-0.91,82.36,4.03
147,Port Hardy,90,CA,1576616952,93,50.7,50.7,44.6,3.42
148,Hobyo,11,SO,1576616952,72,5.35,5.35,77.68,13.82
149,Qaanaaq,40,GL,1576616952,45,77.48,77.48,-4.9,5.06
150,Isabela,100,PH,1576616953,95,10.2,10.2,69.98,7.43
151,Seoul,90,KR,1576616894,80,37.57,37.57,35.6,3.36
152,Kalanguy,100,RU,1576616953,99,51.01,51.01,-10.48,2.15
153,Erzin,1,TR,1576616953,100,36.95,36.95,48.2,1.97
154,Saurimo,92,AO,1576616953,94,-9.66,-9.66,66.54,1.97
155,San Patricio,0,PY,1576616953,47,-26.98,-26.98,83.39,5.5
156,Constitucion,5,MX,1576616954,12,23.99,23.99,66.2,9.17
157,Cabo San Lucas,40,MX,1576616766,69,22.89,22.89,77.0,4.7
158,Troy,90,US,1576616675,79,42.73,42.73,30.0,5.82
159,Tual,25,ID,1576616954,68,-5.67,-5.67,83.52,4.5
160,Port Hawkesbury,40,CA,1576616954,63,45.62,45.62,28.0,16.11
161,Rapid Valley,1,US,1576616955,44,44.06,44.06,46.0,13.87
162,Guacari,75,CO,1576616955,94,3.76,3.76,69.8,4.88
163,Namatanai,78,PG,1576616955,71,-3.66,-3.66,82.24,11.43
164,Faanui,63,PF,1576616955,78,-16.48,-16.48,81.48,19.73
165,Sayyan,5,YE,1576616955,45,15.17,15.17,56.8,3.58
166,Kushima,7,JP,1576616955,79,31.5,31.5,65.16,14.61
167,Tingi,30,TZ,1576616956,80,-11.3,-11.3,67.44,3.24
168,Zhezkazgan,69,KZ,1576616956,94,47.8,47.8,13.87,9.69
169,Malanje,100,AO,1576616956,95,-9.54,-9.54,67.05,3.36
170,Kapaa,75,US,1576616956,74,22.08,22.08,80.6,18.34
171,Kichera,100,RU,1576616956,88,55.93,55.93,-4.77,2.73
172,Chernyshevskiy,92,RU,1576616956,94,63.01,63.01,-22.2,6.76
173,Sao Gabriel da Cachoeira,78,BR,1576616956,63,-0.13,-0.13,85.77,1.19
174,Nizwa,2,OM,1576616706,81,22.93,22.93,60.75,0.69
175,Talnakh,75,RU,1576616957,84,69.49,69.49,5.0,20.13
176,Araouane,67,ML,1576616957,11,18.9,18.9,70.43,10.51
177,Maun,100,BW,1576616957,38,-19.99,-19.99,84.04,5.28
178,Ewa Beach,40,US,1576616956,57,21.32,21.32,82.0,14.99
179,Kiruna,100,SE,1576616957,86,67.86,67.86,26.6,5.82
180,Temba,0,ZA,1576616957,77,-25.38,-25.38,69.01,4.9
181,Iqaluit,90,CA,1576616957,54,63.75,63.75,30.2,14.99
182,Sitka,0,US,1576616958,32,37.17,37.17,43.0,11.01
183,Geraldton,75,CA,1576616958,64,49.72,49.72,1.4,9.17
184,Chapais,1,CA,1576616958,77,49.78,49.78,-0.4,2.62
185,Adrar,0,DZ,1576616958,29,27.87,27.87,57.2,9.17
186,Cherskiy,100,RU,1576616959,98,68.75,68.75,-20.15,3.67
187,Copiapo,40,CL,1576616959,63,-27.37,-27.37,66.2,8.05
188,Xai-Xai,35,MZ,1576616959,78,-25.04,-25.04,65.91,5.55
189,Wodonga,41,AU,1576616959,60,-36.12,-36.12,73.0,3.85
190,Lysva,100,RU,1576616960,96,58.11,58.11,17.98,3.74
191,Sur,23,OM,1576616960,71,22.57,22.57,69.31,1.83
192,Kysyl-Syr,100,RU,1576616961,98,63.9,63.9,-23.01,2.98
193,Srandakan,91,ID,1576616961,89,-7.94,-7.94,74.52,2.01
194,Umm Lajj,0,SA,1576616961,34,25.02,25.02,62.51,16.08
195,Abha,95,SA,1576616961,76,18.22,18.22,59.0,4.7
196,Tiksi,94,RU,1576616961,93,71.64,71.64,-24.77,5.06
197,Altay,67,CN,1576616961,67,47.83,47.83,-0.69,3.44
198,Kawalu,100,ID,1576616962,91,-7.38,-7.38,71.4,1.14
199,Daru,38,PG,1576616962,79,-9.07,-9.07,78.33,5.82
200,Pese,100,PA,1576616962,73,7.91,7.91,84.94,2.33
201,Zhigansk,96,RU,1576616962,96,66.77,66.77,-24.07,8.14
202,Prado,25,CO,1576616962,56,3.75,3.75,83.46,2.86
203,Piopio,90,CL,1576616963,100,-42.79,-42.79,59.0,8.05
204,Mmabatho,67,ZA,1576616963,60,-25.85,-25.85,73.4,13.87
205,Ribeira Grande,40,PT,1576616963,77,38.52,38.52,64.4,34.45
206,Arraial do Cabo,20,BR,1576616963,66,-22.97,-22.97,84.2,16.11
207,Omsukchan,0,RU,1576616963,99,62.53,62.53,-35.28,3.0
208,Digboi,4,IN,1576616963,98,27.4,27.4,55.04,2.53
209,Gallup,1,US,1576616964,22,35.53,35.53,33.8,10.29
210,Atikokan,99,CA,1576616964,85,48.76,48.76,-6.74,10.09
211,Moses Lake,90,US,1576616965,80,47.13,47.13,32.0,3.36
212,Kozluk,2,TR,1576616965,93,38.17,38.17,39.2,5.82
213,Luba,0,PH,1576616966,72,17.32,17.32,65.89,4.47
214,Morondava,89,MG,1576616968,72,-20.3,-20.3,78.98,7.0
215,Hithadhoo,36,MV,1576616969,73,-0.6,-0.6,83.05,8.52
216,Moroto,0,UG,1576616971,46,2.53,2.53,76.01,7.14
217,San Rafael,10,AR,1576616972,12,-34.61,-34.61,90.99,19.1
218,Meadow Lake,90,CA,1576616972,72,54.13,54.13,17.6,2.24
219,Clyde River,75,CA,1576616973,92,70.47,70.47,5.0,3.36
220,Rome,20,IT,1576616757,82,41.89,41.89,60.01,4.7
221,Paramonga,41,PE,1576616973,84,-10.68,-10.68,66.13,9.8
222,Puerto Carreno,40,CO,1576616973,46,6.19,6.19,91.4,13.87
223,Fare,49,PF,1576616973,73,-16.7,-16.7,81.88,16.73
224,Humberto de Campos,100,BR,1576616973,78,-2.6,-2.6,80.38,6.67
225,Lushoto,100,TZ,1576616975,96,-4.8,-4.8,67.86,0.81
226,Port-Cartier,20,CA,1576616975,51,50.03,50.03,12.2,12.75
227,Coquimbo,20,CL,1576616975,68,-29.95,-29.95,73.99,11.41
228,Cabano,90,CA,1576616975,73,47.68,47.68,23.0,9.17
229,Egvekinot,100,RU,1576616976,93,66.32,66.32,6.03,11.86
230,Mayna,91,RU,1576616976,84,53.0,53.0,12.16,4.54
231,Shingu,10,JP,1576616976,84,33.72,33.72,62.73,11.32
232,Rio Gallegos,90,AR,1576616976,76,-51.62,-51.62,57.2,13.87
233,Ballina,90,IE,1576616976,100,54.11,54.11,37.99,5.82
234,Saldanha,93,PT,1576616976,83,41.42,41.42,38.16,4.54
235,Norman Wells,40,CA,1576616977,73,65.28,65.28,-31.0,2.24
236,Aksu,95,KZ,1576616977,84,52.04,52.04,-0.4,6.71
237,Igrim,100,RU,1576616977,94,63.19,63.19,8.29,6.2
238,Alta Floresta,20,BR,1576616977,70,-9.87,-9.87,84.2,2.24
239,Koroni,0,GR,1576616977,93,36.8,36.8,57.99,2.24
240,Lebu,32,ET,1576616977,71,8.96,8.96,57.2,13.87
241,Yangjiang,17,CN,1576616977,88,21.85,21.85,65.62,2.8
242,Kaoma,0,ZM,1576616978,88,-14.8,-14.8,66.52,3.58
243,Vostok,98,RU,1576616978,99,46.45,46.45,-9.87,5.41
244,Zyryanka,100,RU,1576616978,98,65.73,65.73,-19.34,2.64
245,Lorengau,0,PG,1576616978,73,-2.02,-2.02,83.84,7.65
246,Nome,40,US,1576616978,57,30.04,30.04,54.0,14.99
247,Harboore,100,DK,1576616978,100,56.62,56.62,42.8,2.24
248,Mogadishu,95,SO,1576616716,81,2.04,2.04,81.45,24.56
249,La Romana,75,DO,1576616979,94,18.43,18.43,82.4,20.8
250,Hadrut,0,AZ,1576616979,76,39.52,39.52,40.1,2.8
251,Umtata,0,ZA,1576616979,38,-31.59,-31.59,77.0,10.29
252,Changji,95,CN,1576616979,75,32.07,32.07,43.72,8.63
253,Babstovo,0,RU,1576616979,70,48.12,48.12,-1.37,12.06
254,Galle,61,GN,1576616980,62,10.08,10.08,72.37,3.27
255,Chuy,34,UY,1576616979,82,-33.69,-33.69,66.22,11.48
256,Ponta do Sol,61,BR,1576616980,74,-20.63,-20.63,75.29,6.73
257,Wakkanai,100,JP,1576616980,80,45.41,45.41,33.13,17.98
258,Salvador,20,BR,1576616754,69,-12.98,-12.98,82.4,13.87
259,Lakselv,75,NO,1576616981,100,70.05,70.05,24.8,3.36
260,Umm Kaddadah,0,SD,1576616981,27,13.6,13.6,64.35,14.2
261,Puerto Rico,64,CO,1576616981,71,1.91,1.91,83.79,2.44
262,Mallow,75,IE,1576616981,86,52.14,52.14,37.4,4.7
263,Soyo,75,AO,1576616981,88,-6.13,-6.13,82.4,6.93
264,Tateyama,100,JP,1576616981,90,36.66,36.66,54.0,3.18
265,Skelleftea,0,SE,1576616838,100,64.75,64.75,23.0,4.7
266,Mae Sai,0,MM,1576616982,100,20.44,20.44,60.8,2.28
267,Neftcala,0,AZ,1576616982,81,39.37,39.37,53.19,11.5
268,Jieshi,0,CN,1576616982,90,22.82,22.82,65.84,2.53
269,Carnarvon,0,ZA,1576616982,37,-30.97,-30.97,62.94,15.12
270,Talcahuano,76,CL,1576616982,52,-36.72,-36.72,69.8,18.34
271,Svetlogorsk,90,RU,1576616982,92,53.14,53.14,15.8,8.95
272,Kasangulu,75,CD,1576616982,83,-4.59,-4.59,80.6,6.93
273,Kyela,74,MW,1576616983,84,-9.6,-9.6,71.38,3.53
274,East London,72,ZA,1576616983,64,-33.02,-33.02,77.09,24.4
275,Moose Factory,20,CA,1576616983,84,51.26,51.26,3.2,5.82
276,Frohnleiten,20,AT,1576616983,76,47.27,47.27,48.99,5.82
277,Tuatapere,100,NZ,1576616983,85,-46.13,-46.13,52.0,14.0
278,Nueve de Julio,0,AR,1576616833,11,-31.67,-31.67,93.6,19.69
279,Antofagasta,40,CL,1576616730,68,-23.65,-23.65,68.0,13.87
280,Saint-Pierre,100,FR,1576616984,100,48.95,48.95,51.8,11.41
281,Road Town,40,VG,1576616984,69,18.42,18.42,84.2,14.99
282,Srednekolymsk,87,RU,1576616984,97,67.46,67.46,-20.65,7.27
283,San Carlos de Bariloche,40,AR,1576616812,40,-41.13,-41.13,69.8,28.86
284,Kavaratti,22,IN,1576616984,72,10.57,10.57,82.65,7.07
285,Ilulissat,40,GL,1576616984,41,69.22,69.22,24.8,12.75
286,Pangnirtung,75,CA,1576616984,52,66.15,66.15,19.4,2.24
287,Tezu,11,IN,1576616985,81,27.93,27.93,52.3,3.09
288,The Valley,20,AI,1576616966,69,18.22,18.22,82.4,18.34
289,Ulaanbaatar,1,MN,1576616794,67,47.92,47.92,-22.0,3.94
290,Gat,0,SN,1576616985,73,14.69,14.69,69.8,16.11
291,Fortuna,1,US,1576616910,35,40.6,40.6,61.0,25.28
292,Gold Coast,40,AU,1576616985,60,-28.0,-28.0,75.0,8.05
293,Tanete,34,ID,1576616985,96,-3.94,-3.94,73.92,3.04
294,Lasa,0,CY,1576616985,76,34.92,34.92,55.4,6.93
295,Kondol,100,RU,1576616986,97,52.82,52.82,32.0,12.71
296,Lermontovka,0,RU,1576616986,92,47.15,47.15,-9.0,1.81
297,Shaunavon,100,CA,1576616986,80,49.65,49.65,28.51,15.35
298,Potiskum,0,NG,1576616986,26,11.71,11.71,72.82,10.98
299,Kudahuvadhoo,100,MV,1576616986,78,2.67,2.67,82.45,15.21
300,Baiyin,75,CN,1576616986,85,36.55,36.55,19.4,4.47
301,Gemena,56,CD,1576616986,66,3.25,3.25,75.43,1.23
302,Bonanza,96,NI,1576616987,91,14.03,14.03,80.04,2.55
303,Morant Bay,20,JM,1576616987,78,17.88,17.88,82.4,29.97
304,Vila Franca do Campo,40,PT,1576616987,88,37.72,37.72,64.4,23.04
305,Marabba,30,SD,1576616987,19,12.35,12.35,70.75,12.3
306,Nsanje,0,MZ,1576616883,93,-16.92,-16.92,68.43,3.47
307,Mangan,0,IN,1576616987,46,27.5,27.5,34.32,5.95
308,Taoudenni,0,ML,1576616987,27,22.68,22.68,62.46,10.11
309,Bambous Virieux,20,MU,1576616988,88,-20.34,-20.34,79.0,6.93
310,Albion,1,US,1576616988,64,41.69,41.69,35.01,5.82
311,Cairns,75,AU,1576616744,74,-16.92,-16.92,79.0,9.17
312,Brae,0,GB,1576616988,92,60.4,60.4,35.6,4.09
313,Pontiac,75,US,1576616701,61,42.64,42.64,34.0,11.41
314,Linhares,11,BR,1576616988,81,-19.38,-19.38,77.97,6.78
315,Leningradskiy,100,RU,1576616988,95,69.38,69.38,1.54,11.79
316,Kuznetsk,100,RU,1576616989,97,53.11,53.11,30.72,9.15
317,Sao Jose da Coroa Grande,35,BR,1576616989,74,-8.9,-8.9,80.42,11.36
318,Pandan,91,PH,1576616989,81,11.72,11.72,79.23,22.93
319,Tirano,90,IT,1576616989,93,46.22,46.22,48.99,8.05
320,Cayenne,100,GF,1576616989,94,4.94,4.94,75.2,1.12
321,Beroroha,57,MG,1576616990,58,-21.68,-21.68,78.69,8.46
322,Taicheng,4,CN,1576616990,83,22.25,22.25,71.01,4.14
323,Sao Filipe,28,CV,1576616990,81,14.9,14.9,69.3,16.87
324,Boston,90,US,1576616935,98,42.36,42.36,37.4,9.17
325,Ostrovnoy,100,RU,1576616990,91,68.05,68.05,30.11,11.25
326,Baglan,20,GB,1576616990,100,51.62,51.62,39.99,5.82
327,Lensk,91,RU,1576616990,98,60.71,60.71,-21.44,3.51
328,Lufilufi,100,WS,1576616991,94,-13.87,-13.87,78.01,4.0
329,Faya,100,SA,1576616991,76,18.39,18.39,59.0,4.7
330,Belaya Gora,100,RU,1576616991,97,68.54,68.54,-22.14,3.49
331,Kargopol,100,RU,1576616991,98,61.51,61.51,32.25,5.88
332,Luderitz,24,NA,1576616991,72,-26.65,-26.65,66.2,5.82
333,Xiamen,7,CN,1576616991,100,24.46,24.46,62.6,2.24
334,Rock Sound,0,BS,1576616991,84,24.9,24.9,78.22,16.28
335,Baykit,88,RU,1576616992,97,61.68,61.68,-18.78,1.16
336,Hovd,76,NO,1576616992,85,63.83,63.83,39.99,9.17
337,Cururupu,100,BR,1576616992,81,-1.82,-1.82,78.53,3.87
338,Madera,1,US,1576616791,35,36.96,36.96,60.8,6.93
339,Severo-Kurilsk,100,RU,1576616992,98,50.68,50.68,31.64,16.71
340,Leua,5,AO,1576616992,90,-11.65,-11.65,65.97,1.39
341,Marrakesh,20,MA,1576616992,81,31.63,31.63,50.0,1.12
342,Deputatskiy,81,RU,1576616993,93,69.3,69.3,-26.73,3.94
343,Chicama,75,PE,1576616993,78,-7.84,-7.84,71.6,10.29
344,Sulangan,100,PH,1576616993,81,11.14,11.14,80.31,14.99
345,Escarcega,86,MX,1576616993,90,18.61,18.61,76.98,6.71
346,Zhaoqing,48,CN,1576616881,84,23.05,23.05,68.83,1.63
347,Manado,75,ID,1576616891,94,1.49,1.49,75.2,2.24
348,Bowen,40,AU,1576616994,74,-20.01,-20.01,82.0,11.41
349,Kamenka,58,MD,1576616994,90,48.03,48.03,34.0,3.36
350,Oranjemund,90,ZA,1576616994,73,-28.55,-28.55,63.18,7.0
351,San Cristobal,32,HN,1576616994,35,14.68,14.68,83.21,7.85
352,Goksun,24,TR,1576616994,70,38.02,38.02,46.4,4.7
353,Riberalta,75,BO,1576616994,62,-11.0,-11.0,89.6,11.41
354,Hamilton,90,CA,1576616947,74,43.26,43.26,35.01,12.75
355,Barra do Garcas,75,BR,1576616995,74,-15.89,-15.89,82.4,2.24
356,Alberton,0,ZA,1576616995,72,-26.25,-26.25,69.01,2.24
357,Sadove,21,UA,1576616995,100,46.25,46.25,41.0,4.47
358,Tiarei,40,PF,1576616995,66,-17.53,-17.53,87.8,13.87
359,Lata,0,IN,1576616995,15,30.78,30.78,20.97,8.05
360,Salo,75,FI,1576616995,93,60.38,60.38,41.0,4.7
361,Mount Gambier,41,AU,1576616995,46,-37.83,-37.83,69.8,9.17
362,Mayenne,75,FR,1576616995,100,48.3,48.3,44.6,6.93
363,Sistranda,70,NO,1576616745,65,63.73,63.73,39.0,17.22
364,Kaka,99,TM,1576616996,51,37.35,37.35,43.84,4.56
365,Labuhan,100,ID,1576616996,97,-2.54,-2.54,72.88,1.36
366,Santa Cruz,86,BR,1576616996,59,-6.22,-6.22,80.1,12.82
367,Cananeia,100,BR,1576616996,98,-25.01,-25.01,72.16,4.81
368,Afua,0,NG,1576616996,73,5.27,5.27,79.65,5.53
369,Vao,100,EE,1576616996,98,59.1,59.1,36.34,6.55
370,Ugoofaaru,100,MV,1576616996,77,5.67,5.67,83.34,24.11
371,Havre,1,US,1576616997,64,48.55,48.55,37.4,17.22
372,Port Elizabeth,90,US,1576616997,93,39.31,39.31,48.0,5.82
373,Manuk Mangkaw,83,PH,1576616997,77,4.8,4.8,81.25,8.16
374,Homnabad,70,IN,1576616766,71,17.77,17.77,65.12,7.7
375,Coos Bay,1,US,1576616997,57,43.37,43.37,51.8,6.93
376,Numan,0,NG,1576616997,20,9.46,9.46,78.17,3.65
